"plot_ID","CCS_nr","tree_ID","SP_code","H_cm","D_class_cm","inv_year","inv","stand","area_m2","D_cm","H_m","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140039,1,1,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.0008160765182572,3.75476806050138e-06,0.0004080382591286
140039,1,1,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,1,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.0008160765182572,3.75476806050138e-06,0.0004080382591286
140039,1,2,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.0008160765182572,3.75476806050138e-06,0.0004080382591286
140039,1,2,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,2,"vbe",20,0,2022,"BZE3","A",47.0298229832967,0,0.2,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.0008160765182572,3.75476806050138e-06,0.0004080382591286
140039,1,3,"vbe",43,0,2022,"BZE3","A",47.0298229832967,0,0.43,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.00574472756408284,2.64314915223452e-05,0.00287236378204142
140039,1,3,"vbe",43,0,2022,"BZE3","A",47.0298229832967,0,0.43,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,3,"vbe",43,0,2022,"BZE3","A",47.0298229832967,0,0.43,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.00574472756408284,2.64314915223452e-05,0.00287236378204142
140039,1,4,"vbe",21,0,2022,"BZE3","A",47.0298229832967,0,0.21,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.000924170607625565,4.25210896568523e-06,0.000462085303812783
140039,1,4,"vbe",21,0,2022,"BZE3","A",47.0298229832967,0,0.21,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,4,"vbe",21,0,2022,"BZE3","A",47.0298229832967,0,0.21,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.000924170607625565,4.25210896568523e-06,0.000462085303812783
140039,1,5,"vbe",53,0,2022,"BZE3","A",47.0298229832967,0,0.53,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.00978992370885233,4.50434389844296e-05,0.00489496185442617
140039,1,5,"vbe",53,0,2022,"BZE3","A",47.0298229832967,0,0.53,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,5,"vbe",53,0,2022,"BZE3","A",47.0298229832967,0,0.53,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.00978992370885233,4.50434389844296e-05,0.00489496185442617
140039,1,6,"vbe",22,0,2022,"BZE3","A",47.0298229832967,0,0.22,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.00104054262819375,4.78753663231943e-06,0.000520271314096873
140039,1,6,"vbe",22,0,2022,"BZE3","A",47.0298229832967,0,0.22,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,6,"vbe",22,0,2022,"BZE3","A",47.0298229832967,0,0.22,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.00104054262819375,4.78753663231943e-06,0.000520271314096873
140039,1,7,"bi",50,0,2022,"BZE3","A",47.0298229832967,0,0.5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp.","ag",0.00843845650427832,5.11117310464138e-05,0.00421922825213916
140039,1,7,"bi",50,0,2022,"BZE3","A",47.0298229832967,0,0.5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp.","bg",0,0,0
140039,1,7,"bi",50,0,2022,"BZE3","A",47.0298229832967,0,0.5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp.","total",0.00843845650427832,5.11117310464138e-05,0.00421922825213916
140039,1,8,"vbe",60,0,2022,"BZE3","A",47.0298229832967,0,0.6,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.0134317449240703,6.17994583956473e-05,0.00671587246203514
140039,1,8,"vbe",60,0,2022,"BZE3","A",47.0298229832967,0,0.6,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,8,"vbe",60,0,2022,"BZE3","A",47.0298229832967,0,0.6,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.0134317449240703,6.17994583956473e-05,0.00671587246203514
140039,1,9,"vbe",54,0,2022,"BZE3","A",47.0298229832967,0,0.54,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.0102677560985656,4.72419458095005e-05,0.00513387804928282
140039,1,9,"vbe",54,0,2022,"BZE3","A",47.0298229832967,0,0.54,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,9,"vbe",54,0,2022,"BZE3","A",47.0298229832967,0,0.54,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.0102677560985656,4.72419458095005e-05,0.00513387804928282
140039,1,10,"vbe",25,0,2022,"BZE3","A",47.0298229832967,0,0.25,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","ag",0.00144144834361533,6.63210382897411e-06,0.000720724171807663
140039,1,10,"vbe",25,0,2022,"BZE3","A",47.0298229832967,0,0.25,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","bg",0,0,0
140039,1,10,"vbe",25,0,2022,"BZE3","A",47.0298229832967,0,0.25,121,"Vbe","Vogelbeere","Sorbus aucuparia","Sorbus","aucuparia","80.028.002","LB",64,30011,"VB","WAHR","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp.","total",0.00144144834361533,6.63210382897411e-06,0.000720724171807663
140039,2,1,"gfi",23,0,2022,"BZE3","A",5.30686596303451,0,0.23,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","ag",0.00907814371374388,3.94263781487897e-05,0.00453907185687194
