"";"X.1";"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha"
"867";867;140022;39;-9;0;1084;27;48;1;"sbi";2;1;-9;-9;331;150;2011;"HBI";36;107;"SBi";"Sand-Birke";"Betula pendula";"Betula";"pendula";"034.001.001";"LB";10;30011;"BI";"WAHR";"Betula spp.";26;"bu";"aLn";"shw";"BI";"BI";"BI";"BI";"aLn";"Betula spp.";"Betula spp.";33,1877192982456;17,84;10,84;10,3671150639048;-3,16678468667478;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"868";868;140023;1;-9;0;590;120;105;5;"ei";2;1;221;115;362;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";36,2;17,84;5,9;3,42560598685265;4,80366772610672;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"869";869;140023;2;-9;0;1205;123;25;5;"hbu";4;1;-9;-9;220;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";22;12,62;12,05;-5,54183706280957;-10,7000253256369;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"870";870;140023;3;-9;0;1212;136;75;5;"sah";3;1;223;132;230;130;2011;"HBI";2;101;"SAh";"Spitz-Ahorn";"Acer platanoides";"Acer";"platanoides";"095.001.001";"LB";4;30011;"SAH";"WAHR";"Acer platanoides";24;"bu";"aLh";"bu";"AH";"BU";"aLB";"BAH";"aLh";"Acer platanoides";"Acer platanoides";23;12,62;12,12;-9,58005046548141;-7,42408466269273;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"871";871;140023;4;-9;0;513;151;35;5;"hbu";4;1;137;61;127;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";12,7;12,62;5,13;1,0370288916623;5,02408907941108;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"872";872;140023;5;-9;0;402;180;105;5;"ei";1;1;240;123;496;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";49,6;17,84;4,02;-3,22063359565;-2,40580947761259;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"873";873;140023;6;-9;0;869;194;105;5;"hbu";3;1;215;62;320;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";32;17,84;8,69;-6,1037372013432;6,18550662249578;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"874";874;140023;7;-9;0;1451;202;105;5;"hbu";1;1;256;112;391;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";39,1;17,84;14,51;11,7011310836232;8,5804213978025;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"875";875;140023;8;-9;0;1168;229;105;5;"hbu";1;1;259;90;465;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";46,5;17,84;11,68;3,8539604784744;-11,025850925455;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"876";876;140023;9;-9;0;1665;241;85;5;"bah";1;1;272;146;449;130;2011;"HBI";3;102;"BAh";"Berg-Ahorn";"Acer pseudoplatanus";"Acer";"pseudoplatanus";"095.001.005";"LB";227;30011;"BAH";"WAHR";"Acer pseudoplatanus";23;"bu";"aLh";"bu";"AH";"BU";"aLB";"BAH";"aLh";"Acer pseudoplatanus";"Acer pseudoplatanus";44,9;17,84;16,65;13,0696125260521;-10,3154121788158;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"877";877;140023;10;-9;0;1096;273;105;5;"hbu";3;1;-9;-9;303;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";30,3;17,84;10,96;3,43267369738254;-10,4085710492506;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"878";878;140023;11;-9;0;819;257;105;5;"hbu";2;1;-9;-9;326;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";32,6;17,84;8,19;-4,69579526173929;6,7101122836974;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"879";879;140023;12;-9;0;585;230;85;5;"ei";3;1;184;132;210;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";21;12,62;5,85;-3,60397559371218;-4,60802125862359;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"880";880;140023;13;-9;0;205;273;105;5;"hbu";3;1;185;63;208;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";20,8;12,62;2,05;0,642060317484873;-1,94685863603684;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"881";881;140023;14;-9;0;350;283;105;5;"ei";2;1;210;82;342;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";34,2;17,84;3,5;0,888483819265819;3,38535027772649;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"882";882;140023;15;-9;0;1186;314;35;5;"sah";4;1;147;62;144;130;2011;"HBI";2;101;"SAh";"Spitz-Ahorn";"Acer platanoides";"Acer";"platanoides";"095.001.001";"LB";4;30011;"SAH";"WAHR";"Acer platanoides";24;"bu";"aLh";"bu";"AH";"BU";"aLB";"BAH";"aLh";"Acer platanoides";"Acer platanoides";14,4;12,62;11,86;-1,88091186549887;11,7099005356248;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"883";883;140023;16;-9;0;1314;316;85;5;"ges";2;1;226;110;401;130;2011;"HBI";9;112;"GEs";"Gewoehnliche Esche";"Fraxinus excelsior";"Fraxinus";"excelsior";"139.004.003";"LB";22;30011;"ES";"WAHR";"Fraxinus excelsior";21;"bu";"aLh";"bu";"ES";"BU";"aLB";"ES";"aLh";"Fraxinus excelsior";"Fraxinus excelsior";40,1;17,84;13,14;12,6641657536059;-3,5040698858891;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"884";884;140023;17;-9;0;690;399;105;5;"ei";2;1;-9;-9;383;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";38,3;17,84;6,9;-0,122351246618859;-6,89891514460432;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"885";885;140023;18;-9;0;482;28;105;5;"ei";1;1;-9;-9;479;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";47,9;17,84;4,82;1,30576589964393;-4,63976027563139;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"886";886;140023;19;-9;0;817;44;85;5;"rka";4;1;133;67;191;130;2011;"HBI";56;144;"RKa";"Rosskastanie";"Aesculus hippocastanum";"Aesculus";"hippocastanum";"097.001.001";"LB";221;30011;"KA";"WAHR";"Magnoliopsida trees";35;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"broadleaf species";"broadleaf species";19,1;12,62;8,17;0,144624728111229;8,16871983165164;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"887";887;140023;20;-9;0;812;45;85;5;"rka";4;1;143;82;232;130;2011;"HBI";56;144;"RKa";"Rosskastanie";"Aesculus hippocastanum";"Aesculus";"hippocastanum";"097.001.001";"LB";221;30011;"KA";"WAHR";"Magnoliopsida trees";35;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"broadleaf species";"broadleaf species";23,2;12,62;8,12;6,90933661921704;4,26561454919996;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"888";888;140023;21;-9;0;1046;41;105;5;"ei";3;1;180;102;297;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";29,7;12,62;10,46;-1,65919311569726;-10,3275688428992;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"889";889;140023;22;-9;0;1235;14;105;5;"ei";3;1;-9;-9;317;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";31,7;17,84;12,35;12,2340008428316;1,68870464486674;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"890";890;140023;23;-9;0;1148;36;105;5;"ei";3;1;-9;-9;277;130;2011;"HBI";73;163;"Ei";"Eiche";"Quercus robur x petraea";"Quercus";"robur x petraea";"036.004.999.DL";"LB";98;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";27,7;12,62;11,48;-11,385621237527;-1,46902315692261;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"891";891;140023;26;-9;0;1669;48;105;5;"rka";4;1;153;78;399;130;2011;"HBI";56;144;"RKa";"Rosskastanie";"Aesculus hippocastanum";"Aesculus";"hippocastanum";"097.001.001";"LB";221;30011;"KA";"WAHR";"Magnoliopsida trees";35;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"broadleaf species";"broadleaf species";39,9;17,84;16,69;-12,822170297492;-10,6840090257409;1;2;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348
"892";892;140023;27;-9;0;936;98;105;5;"hbu";2;1;211;85;294;130;2011;"HBI";6;109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"035.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";29,4;12,62;9,36;-5,36685432183036;-7,66853797592806;1;2;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386
"893";893;140024;1;-9;0;138;203;34;1;"gki";2;1;195;133;207;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,7;12,62;1,38;1,28796738623041;-0,495519941078881;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"894";894;140024;2;-9;0;250;253;34;1;"gki";2;1;-9;-9;207;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,7;12,62;2,5;2,48705932167767;-0,254039230151992;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"895";895;140024;3;-9;0;808;224;34;1;"gki";2;1;188;144;186;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";18,6;12,62;8,08;-6,55789765870899;-4,72020956080332;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"896";896;140024;4;-9;0;1070;209;34;1;"gki";2;1;-9;-9;223;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";22,3;12,62;10,7;10,6621930668974;-0,898687378461485;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"897";897;140024;5;-9;0;899;232;34;1;"gki";2;1;-9;-9;220;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";22;12,62;8,99;-4,13429174185696;7,98296510033793;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"898";899;140024;7;-9;0;1081;261;34;1;"gki";2;1;-9;-9;235;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";23,5;12,62;10,81;-2,6514898701758;-10,4797758310164;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"899";900;140024;8;-9;0;743;246;34;1;"gki";3;1;-9;-9;198;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";19,8;12,62;7,43;6,06852679719747;4,28694325967772;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"900";901;140024;9;-9;0;595;268;34;1;"gki";2;1;-9;-9;247;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";24,7;12,62;5,95;-4,8899183155264;-3,38986708699316;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"901";902;140024;10;-9;0;1211;276;34;1;"gki";2;1;-9;-9;282;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";28,2;12,62;12,11;-5,37787734309542;10,8503702832033;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"902";903;140024;11;-9;0;1120;280;34;1;"tei";4;1;82;41;110;130;2011;"HBI";38;116;"TEi";"Trauben-Eiche";"Quercus petraea";"Quercus";"petraea";"036.004.011";"LB";48;30013;"EI";"WAHR";"Quercus spp.";17;"ei";"ei";"ei";"EI";"EI";"aLB";"EI";"ei";"Quercus spp.";"Quercus spp.";11;12,62;11,2;-4,34346551328737;-10,3234832946483;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"903";904;140024;12;-9;0;1199;284;34;1;"gki";2;1;185;125;273;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";27,3;12,62;11,99;11,4032569776699;3,70483876858666;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"904";905;140024;13;-9;0;980;292;34;1;"gki";3;1;-9;-9;209;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,9;12,62;9,8;1,63979461391602;-9,66183593444704;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"905";906;140024;14;-9;0;302;332;34;1;"gki";3;1;-9;-9;171;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";17,1;12,62;3,02;-2,55553711248923;1,60923275715174;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"906";907;140024;15;-9;0;400;374;34;1;"gki";2;1;-9;-9;182;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";18,2;12,62;4;-0,599628053824943;-3,95480039914357;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"907";908;140024;16;-9;0;525;346;34;1;"gki";3;1;-9;-9;179;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";17,9;12,62;5,25;2,1637662400572;4,78336865173371;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"908";909;140024;17;-9;0;593;360;34;1;"gki";2;1;-9;-9;174;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";17,4;12,62;5,93;5,68637023984684;-1,68228817251511;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"909";910;140024;18;-9;0;1040;318;34;1;"gki";2;1;-9;-9;206;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,6;12,62;10,4;-6,69303654215312;-7,9601043865896;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"910";911;140024;19;-9;0;1232;313;34;1;"gki";2;1;182;89;332;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";33,2;17,84;12,32;-11,2913969192707;4,92815945475421;1;1;1;"A";"0";822,759632618469;0,0822759632618469;0,0999860870850348
"911";912;140024;20;-9;0;1045;328;34;1;"gki";2;1;-9;-9;195;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";19,5;12,62;10,45;9,99422047349208;3,05254928334198;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"912";913;140024;21;-9;0;1268;334;34;1;"gki";2;1;-9;-9;307;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";30,7;17,84;12,68;10,6090028505917;6,94488722126835;1;1;1;"A";"0";822,759632618469;0,0822759632618469;0,0999860870850348
"913";914;140024;22;-9;0;1022;344;34;1;"gki";2;1;-9;-9;239;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";23,9;12,62;10,22;-10,2199012697531;-0,0449225611431147;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"914";915;140024;23;-9;0;1120;354;34;1;"gki";2;1;-9;-9;218;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";21,8;12,62;11,2;9,42429261045387;-6,0516699176793;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"915";916;140024;24;-9;0;1537;344;34;1;"gki";2;1;199;39;353;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";35,3;17,84;15,37;-15,3698515182098;-0,0675596638717879;1;1;1;"A";"0";822,759632618469;0,0822759632618469;0,0999860870850348
"916";918;140024;26;-9;0;1120;394;34;1;"gki";2;1;-9;-9;275;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";27,5;12,62;11,2;-10,7945983445997;-2,98607544760112;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"917";919;140024;27;-9;0;749;393;34;1;"gki";3;1;-9;-9;178;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";17,8;12,62;7,49;-2,22001629120455;-7,15343467620879;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"918";920;140024;28;-9;0;517;397;34;1;"gki";2;1;-9;-9;199;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";19,9;12,62;5,17;4,73847873680511;2,06778124105183;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"919";921;140024;29;-9;0;618;28;34;1;"gki";3;1;-9;-9;184;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";18,4;12,62;6,18;1,67419777174263;-5,94890425381784;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
"920";922;140024;30;-9;0;540;41;34;1;"gki";3;1;-9;-9;145;130;2011;"HBI";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";14,5;12,62;5,4;-0,856562411545429;-5,33163209862866;1;1;1;"A";"0";465,180219490397;0,0465180219490397;0,0500343869018386
