"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m"
140039,1,7,FALSE,266,372,110,1,"gfi",3,1,201,138,229,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",22.9,12.62
140039,2,7,FALSE,735,10,110,1,"gfi",2,1,271,149,434,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43.4,17.84
140039,3,7,FALSE,1323,25,110,1,"gfi",2,1,-9,-9,389,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",38.9,17.84
140039,4,7,FALSE,1089,65,110,1,"gfi",3,1,-9,-9,287,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",28.7,12.62
140039,5,7,FALSE,1360,71,110,1,"gfi",2,1,-9,-9,350,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",35,17.84
140039,6,7,FALSE,1151,105,110,1,"gfi",3,1,-9,-9,249,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",24.9,12.62
140039,7,7,FALSE,697,86,110,1,"gfi",2,1,-9,-9,416,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.6,17.84
140039,8,7,FALSE,1436,116,110,1,"gfi",2,1,-9,-9,442,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.2,17.84
140039,9,7,FALSE,1318,132,110,1,"gfi",2,1,-9,-9,319,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",31.9,17.84
140039,10,7,FALSE,903,126,110,1,"gfi",2,1,266,182,280,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",28,12.62
