bund_nr,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
50001,,,,,0,-9,-9
50002,,,,,0,-9,-9
50003,,,,,0,-9,-9
50004,,,,,0,-9,-9
50005,,,,,0,-9,-9
50006,,,,,0,-9,-9
50007,,,,,0,-9,-9
50008,,,,,0,-9,-9
50009,,,,,0,-9,-9
50010,,,,,0,-9,-9
50011,,,,,0,-9,-9
50012,,,,,0,-9,-9
50013,,,,,0,-9,-9
50014,,,,,0,-9,-9
50015,,,,,0,-9,-9
50016,,,,,0,-9,-9
50017,,,,,0,-9,-9
50018,,,,,0,-9,-9
50019,,,,,0,-9,-9
50020,,,,,0,-9,-9
50021,,,,,0,-9,-9
50022,,,,,0,-9,-9
50023,,,,,0,-9,-9
50024,,,,,0,-9,-9
50025,,,,,0,-9,-9
50026,,,,,0,-9,-9
50027,,,,,0,-9,-9
50028,,,,,0,-9,-9
50029,,,,,0,-9,-9
50030,,,,,0,-9,-9
50031,,,,,0,-9,-9
50032,,,,,0,-9,-9
50033,,,,,0,-9,-9
50034,,,,,0,-9,-9
50035,,,,,0,-9,-9
50036,,,,,0,-9,-9
50037,,,,,0,-9,-9
50038,,,,,0,-9,-9
50039,,,,,0,-9,-9
50040,,,,,0,-9,-9
50041,,,,,0,-9,-9
50042,,,,,0,-9,-9
50043,,,,,0,-9,-9
50044,,,,,0,-9,-9
50045,,,,,0,-9,-9
50046,,,,,0,-9,-9
50047,,,,,0,-9,-9
50048,,,,,0,-9,-9
50049,,,,,0,-9,-9
50050,,,,,0,-9,-9
50051,,,,,0,-9,-9
50052,,,,,0,-9,-9
50053,,,,,0,-9,-9
50054,,,,,0,-9,-9
50055,,,,,0,-9,-9
50056,,,,,0,-9,-9
50057,,,,,0,-9,-9
50058,,,,,0,-9,-9
50059,,,,,0,-9,-9
50060,,,,,0,-9,-9
50061,,,,,0,-9,-9
50062,,,,,0,-9,-9
50063,,,,,0,-9,-9
50064,,,,,0,-9,-9
50065,,,,,0,-9,-9
50066,,,,,0,-9,-9
50067,,,,,0,-9,-9
50068,,,,,0,-9,-9
50069,,,,,0,-9,-9
50070,,,,,0,-9,-9
50071,,,,,0,-9,-9
50072,,,,,0,-9,-9
50073,,,,,0,-9,-9
50074,,,,,0,-9,-9
50075,,,,,0,-9,-9
50076,,,,,0,-9,-9
50077,,,,,0,-9,-9
50078,,,,,0,-9,-9
50079,,,,,0,-9,-9
50080,,,,,0,-9,-9
50081,,,,,0,-9,-9
50082,,,,,0,-9,-9
50083,,,,,0,-9,-9
50084,,,,,0,-9,-9
50085,,,,,0,-9,-9
50086,,,,,0,-9,-9
50087,,,,,0,-9,-9
50088,,,,,0,-9,-9
50089,,,,,0,-9,-9
50090,,,,,0,-9,-9
50091,,,,,0,-9,-9
50092,,,,,0,-9,-9
50093,,,,,0,-9,-9
50094,,,,,0,-9,-9
50095,,,,,0,-9,-9
50096,,,,,0,-9,-9
50097,,,,,0,-9,-9
50098,,,,,0,-9,-9
50099,,,,,0,-9,-9
50100,,,,,0,-9,-9
50101,,,,,0,-9,-9
50102,,,,,0,-9,-9
50103,,,,,0,-9,-9
50104,,,,,0,-9,-9
50105,,,,,0,-9,-9
50106,,,,,0,-9,-9
50107,,,,,0,-9,-9
50108,,,,,0,-9,-9
50109,,,,,0,-9,-9
50110,,,,,0,-9,-9
50111,,,,,0,-9,-9
50112,,,,,0,-9,-9
50113,,,,,0,-9,-9
50114,,,,,0,-9,-9
50115,,,,,0,-9,-9
50116,,,,,0,-9,-9
50117,,,,,0,-9,-9
50118,,,,,0,-9,-9
50119,,,,,0,-9,-9
50120,,,,,0,-9,-9
50121,,,,,0,-9,-9
50122,,,,,0,-9,-9
50123,,,,,0,-9,-9
50124,,,,,0,-9,-9
50125,,,,,0,-9,-9
50126,,,,,0,-9,-9
50127,,,,,0,-9,-9
50128,,,,,0,-9,-9
50129,,,,,0,-9,-9
50130,,,,,0,-9,-9
50131,,,,,0,-9,-9
50132,,,,,0,-9,-9
50133,,,,,0,-9,-9
50134,,,,,0,-9,-9
50135,,,,,0,-9,-9
50136,,,,,0,-9,-9
50137,,,,,0,-9,-9
50138,,,,,0,-9,-9
50139,,,,,0,-9,-9
50140,,,,,0,-9,-9
50141,,,,,0,-9,-9
50142,,,,,0,-9,-9
50143,,,,,0,-9,-9
50144,,,,,0,-9,-9
50145,,,,,0,-9,-9
50146,,,,,0,-9,-9
51025,,,,,0,-9,-9
