bund_nr,lfd_nr,aufnahme,distanz,azimut,flaeche,zersetzung,baumgruppe,faktor
140055,3,1,1600,250,10000,1,2,2.0
140048,1,2,1600,350,10000,-9,-9,-9.0
140048,2,2,1600,50,10000,-9,-9,-9.0
140048,3,2,1600,250,10000,-9,-9,-9.0
140038,1,2,1600,350,10000,-9,-9,-9.0
140038,2,2,1600,50,10000,-9,-9,-9.0
140038,3,1,1600,250,10000,2,1,1.0
140187,1,2,1600,350,10000,-9,-9,-9.0
140187,2,2,1600,50,10000,-9,-9,-9.0
140187,3,2,1600,250,10000,-9,-9,-9.0
140037,1,2,1600,350,10000,-9,-9,-9.0
140037,2,2,1600,50,10000,-9,-9,-9.0
140037,3,2,1600,250,10000,-9,-9,-9.0
140057,1,1,1600,350,10000,3,1,1.0
140057,2,2,1600,50,10000,-9,-9,-9.0
140057,3,2,1600,250,10000,-9,-9,-9.0
140316,1,2,1600,350,10000,-9,-9,-9.0
140316,2,2,1600,50,10000,-9,-9,-9.0
140316,3,2,1600,250,10000,-9,-9,-9.0
140041,1,2,1600,350,10000,-9,-9,-9.0
140041,2,2,1600,50,10000,-9,-9,-9.0
140041,3,2,1600,250,10000,-9,-9,-9.0
140068,1,1,1600,350,10000,3,1,1.0
140068,2,2,1600,50,10000,-9,-9,-9.0
140068,3,1,1600,250,10000,3,1,1.0
140254,1,1,1600,350,10000,3,2,1.0
140254,2,1,1600,50,10000,3,2,1.0
140254,3,3,1600,250,10000,-9,-9,-9.0
140067,1,2,1600,350,10000,-9,-9,-9.0
140067,2,1,1600,50,10000,4,1,1.0
140067,3,1,1600,250,10000,3,1,1.0
140059,1,1,1600,350,10000,4,2,1.0
140059,2,1,1600,50,10000,2,2,1.0
140059,3,2,1600,250,10000,-9,-9,-9.0
140064,1,2,1600,350,10000,-9,-9,-9.0
140064,2,1,1600,50,10000,3,1,1.0
140064,3,2,1600,250,10000,-9,-9,-9.0
140063,1,2,1600,350,10000,-9,-9,-9.0
140063,2,2,1600,50,10000,-9,-9,-9.0
140063,3,2,1600,250,10000,-9,-9,-9.0
140062,1,1,1600,350,10000,3,1,1.0
140062,2,2,1600,50,10000,-9,-9,-9.0
140062,3,1,1600,250,10000,3,1,1.0
140065,1,2,1600,350,10000,-9,-9,-9.0
140065,2,2,1600,50,10000,-9,-9,-9.0
140065,3,2,1600,250,10000,-9,-9,-9.0
140060,1,1,1600,350,10000,3,1,1.0
140060,2,2,1600,50,10000,-9,-9,-9.0
140060,3,2,1600,250,10000,-9,-9,-9.0
140061,1,2,1600,350,10000,-9,-9,-9.0
140061,2,1,1600,50,10000,3,1,1.0
140061,3,2,1600,250,10000,-9,-9,-9.0
140066,1,-9,1600,350,10000,-9,-9,-9.0
140066,2,-9,1600,50,10000,-9,-9,-9.0
140066,3,-9,1600,250,10000,-9,-9,-9.0
140033,1,-9,,,,-9,-9,-9.0
140033,2,-9,,,,-9,-9,-9.0
140033,3,-9,,,,-9,-9,-9.0
140032,1,-9,,,,-9,-9,-9.0
140032,2,-9,,,,-9,-9,-9.0
140032,3,-9,,,,-9,-9,-9.0
140035,1,-9,,,,-9,-9,-9.0
140035,2,-9,,,,-9,-9,-9.0
140035,3,-9,,,,-9,-9,-9.0
140034,1,-9,,,,-9,-9,-9.0
140034,2,-9,,,,-9,-9,-9.0
140034,3,-9,,,,-9,-9,-9.0
140317,1,-9,,,,-9,-9,-9.0
140317,2,-9,,,,-9,-9,-9.0
140317,3,-9,,,,-9,-9,-9.0
