bund_nr,pk_nr,pk_aufnahme,pk_richtung,pk_dist
140022,2,1,o,1000
140022,3,1,s,1000
140022,4,1,w,1000
140023,1,1,n,1000
140023,2,1,o,1000
140023,3,1,s,1000
140023,4,2,w,1000
140024,1,1,n,1000
140024,2,1,o,1000
140024,3,1,s,1000
140024,4,1,w,1000
140025,1,2,n,1000
140025,2,1,o,1000
140025,3,1,s,1000
140025,4,1,w,1000
140026,1,1,n,1000
140026,2,1,o,1000
140026,3,1,s,1000
140026,4,1,w,1000
140027,1,1,n,1000
140027,2,1,o,1000
140027,3,1,s,1000
140027,4,1,w,1000
140028,1,1,n,1000
140028,2,1,o,1000
140028,3,1,s,1000
140028,4,1,w,1000
140029,1,1,n,1000
140029,2,1,o,1000
140029,3,1,s,1000
140029,4,1,w,1000
140030,1,1,n,1000
140030,2,1,o,1000
140030,3,1,s,130
140030,4,1,w,1000
140031,1,1,n,1000
140031,2,1,o,1000
140031,3,1,s,1000
140031,4,1,w,1000
140032,1,1,n,1000
140032,2,1,o,1000
140032,3,1,s,1000
140032,4,1,w,1000
140033,1,1,n,1000
140033,2,1,o,1000
140033,3,1,s,1000
140033,4,1,w,1000
140034,1,1,n,1000
140034,2,1,o,1000
140034,3,1,s,1000
140034,4,1,w,1000
140035,1,1,n,1000
140035,2,1,o,1000
140035,3,1,s,1000
140035,4,1,w,1000
140036,1,1,n,1000
140036,2,1,o,1000
140036,3,1,s,1000
140036,4,1,w,1000
140037,1,1,n,1000
140037,2,1,o,1000
140037,3,1,s,1000
140037,4,1,w,1000
140038,1,1,n,1000
140038,2,1,o,1000
140038,3,1,s,1000
140038,4,1,w,1000
140039,1,1,n,1000
140039,2,1,o,1000
140039,3,1,s,1000
140039,4,1,w,1000
140040,1,1,n,1000
140040,2,1,o,1000
140040,3,1,s,1000
140040,4,1,w,1000
140041,1,1,n,1000
140041,2,1,o,1000
140041,3,1,s,1000
140041,4,1,w,1000
140042,1,1,n,1000
140042,2,1,o,1000
140042,3,1,s,1000
140042,4,1,w,1000
140043,1,1,n,1000
140043,2,1,o,1000
140043,3,1,s,1000
140043,4,1,w,1000
140044,1,2,n,1000
140044,2,2,o,1000
140044,3,1,s,1000
140044,4,1,w,1000
140045,1,1,n,1000
140045,2,1,o,1000
140045,3,1,s,1000
140045,4,1,w,1000
140046,1,1,n,1000
140046,2,1,o,1000
140046,3,2,s,1000
140046,4,1,w,1000
140047,1,1,n,1000
140047,2,1,o,1000
140047,3,1,s,1000
140047,4,1,w,1000
140048,1,1,n,1000
140048,2,1,o,1000
140048,3,1,s,1000
140048,4,1,w,1000
140049,1,1,n,1000
140049,2,1,o,1000
140049,3,2,s,1000
140049,4,1,w,1000
140050,1,2,n,1000
140050,2,1,o,1000
140050,3,1,s,1000
140050,4,2,w,1000
140051,1,1,n,1000
140051,2,1,o,1000
140051,3,1,s,1000
140051,4,1,w,1000
140052,1,1,n,1000
140052,2,1,o,1000
140052,3,1,s,1000
140052,4,1,w,1000
140053,1,1,n,1000
140053,2,1,o,1000
140053,3,1,s,1000
140053,4,1,w,1000
140054,1,2,n,1000
140054,2,1,o,1000
140054,3,2,s,1000
140054,4,2,w,1000
140055,1,1,n,1000
140055,2,1,o,1000
140055,3,1,s,1000
140055,4,1,w,1000
140056,1,1,n,1000
140056,2,1,o,1000
140056,3,1,s,1000
140056,4,1,w,500
140057,1,1,n,1000
140057,2,1,o,1000
140057,3,1,s,1000
140057,4,1,w,1000
140058,1,1,n,1000
140058,2,2,o,1000
140058,3,2,s,1000
140058,4,1,w,1000
140059,1,1,n,1000
140059,2,1,o,1000
140059,3,1,s,1000
140059,4,1,w,1000
140060,1,1,n,1000
140060,2,1,o,1000
140060,3,1,s,1000
140060,4,1,w,1000
140061,1,1,n,1000
140061,2,1,o,1000
140061,3,1,s,1000
140061,4,1,w,1000
140062,1,1,n,1000
140062,2,1,o,1000
140062,3,1,s,1000
140062,4,1,w,1000
140063,1,1,n,1000
140063,2,1,o,1000
140063,3,1,s,1000
140063,4,1,w,1000
140064,1,1,n,1000
140064,2,1,o,1000
140064,3,2,s,1000
140064,4,1,w,1000
140065,1,1,n,1000
140065,2,1,o,1000
140065,3,1,s,1000
140065,4,1,w,1000
140066,1,1,n,1000
140066,2,1,o,1000
140066,3,2,s,1000
140066,4,1,w,1000
140067,1,1,n,1000
140067,2,1,o,1000
140067,3,1,s,1000
140067,4,1,w,1000
140068,1,2,n,1000
140068,2,2,o,1000
140068,3,2,s,1000
140068,4,2,w,1000
140089,1,1,n,1000
140089,2,1,o,1000
140089,3,1,s,1000
140089,4,1,w,1000
140102,1,1,n,1000
140102,2,1,o,1000
140102,3,1,s,1000
140102,4,1,w,1000
140175,1,1,n,1000
140175,2,1,o,1000
140175,3,1,s,1000
140175,4,1,w,1000
140187,1,1,n,1000
140187,2,1,o,1000
140187,3,1,s,1000
140187,4,1,w,1000
140234,1,1,n,1000
140234,2,1,o,1000
140234,3,1,s,1000
140234,4,1,w,1000
140252,1,1,n,1000
140252,2,1,o,1000
140252,3,1,s,1000
140252,4,1,w,1000
140254,1,1,n,1000
140254,2,1,o,1000
140254,3,1,sw,500
140254,4,1,w,1000
140315,1,1,n,1000
140315,2,1,o,1000
140315,3,1,s,1000
140315,4,1,w,1000
140316,1,2,n,1000
140316,2,1,o,1000
140316,3,1,s,1000
140316,4,2,w,1000
