bund_nr,lfd_nr,zwiesel,baumkennzahl,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
140009,47,,-9,gki,70,1,224,130,-9,-9,184,804,2,1
140009,48,,-9,gki,70,1,150,130,-9,-9,197,689,4,1
140009,49,,-9,gki,70,1,293,130,-9,-9,202,497,2,1
140009,50,,-9,gki,70,1,175,130,-9,-9,221,434,4,1
140009,51,,-9,gki,70,1,290,130,-9,-9,198,931,2,1
140009,52,,-9,gki,70,1,328,130,-9,-9,211,1612,2,1
140009,53,,-9,gki,70,1,214,130,-9,-9,221,1220,2,1
140009,54,,-9,gki,70,1,351,130,-9,-9,225,1055,2,1
140009,55,,-9,gki,70,1,260,130,-9,-9,239,828,2,1
140009,56,,-9,gki,70,1,255,130,-9,-9,248,1139,2,1
140009,57,,-9,gki,70,1,319,130,-9,-9,232,1660,2,1
140009,58,,-9,gki,70,1,146,130,-9,-9,265,1118,4,1
140009,59,,-9,gki,70,1,237,130,-9,-9,273,1091,3,1
140009,60,,-9,gki,70,1,338,130,-9,-9,273,1671,2,1
140010,1,,-9,sbi,39,1,357,130,200,89,317,175,1,1
140010,2,,-9,sbi,28,1,158,130,148,74,31,765,2,1
140010,3,,-9,sbi,28,1,110,130,127,74,57,1252,3,1
140010,4,,-9,sbi,28,1,126,130,-9,-9,66,684,3,1
140010,5,,-9,sbi,28,1,110,130,-9,-9,86,928,3,1
140010,6,,-9,sbi,28,1,156,120,-9,-9,109,1115,2,1
140010,7,,-9,sbi,28,1,119,130,-9,-9,117,1170,2,1
140010,8,,-9,sbi,28,1,153,130,-9,-9,108,724,2,1
140010,9,,-9,sbi,28,1,104,130,-9,-9,101,698,2,1
140010,10,,-9,sbi,28,1,94,150,110,65,101,407,3,1
140010,11,,-9,sbi,28,1,107,130,-9,-9,118,491,3,1
140010,12,,-9,sbi,39,1,254,200,170,103,186,795,1,1
140010,13,,-9,gki,46,1,340,130,166,81,207,1067,1,1
140010,14,,-9,sbi,28,1,91,130,-9,-9,210,520,3,1
140010,15,,-9,sbi,28,1,117,130,-9,-9,271,985,2,1
140010,16,,-9,sbi,28,1,102,130,-9,-9,271,1260,3,1
140010,17,,-9,sbi,28,1,112,130,-9,-9,284,1117,3,1
140010,18,,-9,sbi,28,1,136,130,-9,-9,275,885,2,1
140010,19,,-9,sbi,28,1,136,160,-9,-9,311,1020,2,1
140010,20,,-9,sbi,28,1,110,130,-9,-9,331,839,3,1
140010,21,,-9,sbi,28,1,124,130,-9,-9,352,1219,2,1
140010,22,,-9,sbi,28,1,120,130,-9,-9,348,1105,2,1
140010,23,,-9,sbi,28,1,138,130,-9,-9,366,1050,2,1
140010,24,,-9,sbi,28,1,130,130,-9,-9,367,926,2,1
140010,25,,-9,gki,46,1,362,130,139,36,362,670,1,1
140012,1,,-9,gki,92,1,350,130,220,135,176,280,2,1
140012,2,,-9,gki,92,1,333,130,245,159,169,899,2,1
140012,3,,-9,gki,92,1,363,130,237,173,181,1454,2,1
140012,4,,-9,gki,92,1,313,130,-9,-9,198,1106,3,1
140012,5,,-9,gfi,30,1,168,130,128,28,219,1198,4,1
140012,6,,-9,gki,92,1,359,130,-9,-9,280,948,2,1
140012,7,,-9,gki,92,1,294,130,203,155,299,1238,3,1
140012,8,,-9,gki,92,1,402,130,241,162,324,343,2,1
140012,9,,-9,gki,92,1,434,130,-9,-9,331,1188,2,1
140012,10,,-9,gki,92,1,395,130,-9,-9,376,1065,2,1
140012,11,,-9,gki,92,1,318,130,-9,-9,389,1231,3,1
140012,12,,-9,gfi,30,1,201,130,141,24,397,1067,4,1
140012,13,,-9,gki,92,1,303,130,-9,-9,22,219,3,1
140012,14,,-9,gki,92,1,401,130,-9,-9,40,678,2,1
140012,15,,-9,gki,92,1,329,130,-9,-9,45,1016,2,1
140012,16,,-9,gki,92,1,302,130,-9,-9,100,1323,2,1
140012,17,,-9,gki,92,1,328,130,-9,-9,93,1107,2,1
140012,18,,-9,gki,92,1,333,130,-9,-9,147,1056,2,1
140013,1,,-9,gki,68,1,234,130,177,110,289,713,2,1
140013,2,,-9,gki,68,1,231,130,-9,-9,281,868,2,1
140013,3,,-9,gki,68,1,117,130,152,114,263,919,3,1
140013,4,,-9,gki,68,1,177,130,168,112,257,1178,2,1
140013,5,,-9,gki,68,1,195,130,-9,-9,280,1233,2,1
140013,6,,-9,gki,68,1,168,130,-9,-9,293,1211,3,1
140013,7,,-9,gki,68,1,176,150,-9,-9,300,1160,2,1
140013,8,,-9,gki,68,1,134,130,-9,-9,311,765,3,1
140013,9,,-9,gki,68,1,207,130,-9,-9,337,1156,2,1
140013,10,,-9,gki,68,1,238,130,-9,-9,354,945,2,1
140013,11,,-9,gki,68,1,336,150,221,122,365,1255,1,1
140013,12,,-9,gki,68,1,252,130,184,118,399,1032,2,1
140013,13,,-9,gki,68,1,173,130,-9,-9,11,1126,2,1
140013,14,,-9,gki,68,1,206,130,-9,-9,27,1208,2,1
140013,15,,-9,gki,68,1,164,130,-9,-9,42,1248,3,1
140013,16,,-9,gki,68,1,245,130,-9,-9,391,652,2,1
140013,17,,-9,gki,68,1,311,130,-9,-9,384,528,1,1
140013,18,,-9,gki,68,1,104,130,-9,-9,395,494,4,1
140013,19,,-9,gki,68,1,95,130,-9,-9,388,363,4,1
140013,20,,-9,gki,68,1,157,150,-9,-9,365,213,3,1
140013,21,,-9,gki,68,1,95,130,122,94,9,365,4,1
140013,22,,-9,gki,68,1,131,130,-9,-9,22,472,3,1
140013,23,,-9,gki,68,1,199,130,-9,-9,39,702,2,1
