column name/ code;meaning;unit;definition;Bedeutung;Definition
B;biomass;;;Biomasse;
C;carbon;;;Kohlenstoff;
N;nitrogen;;;Stickstoff;
V;volume;;;Volumen;
BA;basal area;;;Grundfläche;
D;diameter;;;Druchmesser;
DBH;diameter at breast height;;;Brusthöhendurchmesser;
D_h;diameter measuring height;;;Höhe in der Brusthöhendurchmesser gemessen wurde;
h;height;;;Höhe;
H;height;;;Höhe;
CH;canopy height;;;Kronenansatzhöhe;
ID;identivication;;;Identifikation;
b;bark;;;Rinde;
w;wood;;;Holz, holzig;
f;foliage;;;Blätter, Blattmasse;
fw;fine wood;;;Nichtderbholz mit Rinde;Holzige Baumbestandteile oberhalb Fällschnitt mit Druchmesser < 7cm, mit Rinde
sw;solid wood;;;Derbholz ohne Rinde;Holzige Baumbestandteile oberhalb Fällschnitt mit Druchmesser > 7cm, ohne Rinde
swb;solid wood bark;;;Derbholzrinde;Rinde Holziger Baumbestandteile oberhalb Fällschnitt mit Druchmesser >7cm
stw;stump wood;;;Stockholz ohne Rinde;Holzige Baumbestandteile unterhalb des Fällschnittes mit Druchmesser >7cm, ohne Rinde
stwb;stump wood bark;;;Stockholzrinde;Rinde Holziger Baumbestandteile unterhalb des Fällschnittes mit Druchmesser >7cm
ag;aboveground;;;oberirdisch;
bg;belowground;;;unterirdisch;
total;total;;;gesamt;
tot;total;;;gesamt;
Nt;number of trees;;;Baumanzahl, Stammzahl;
DW;deadwood;;;Totholz;
dw;deadwood;;;Totholz;
RG;regeneration;;;Verjüngung;
LT;living trees;;;Altbestand oder Bestand;
P;plot;;;Plot, äußerster Probekreis;
SP;species;;;Baumart, Baumgattung, Baumartengruppe;
CP;canopy layer;;;Krone, Kronenschicht;
A;area;;;Fläche;
t;tons;;;Tonnen;
kg;kilo gramm;;;Kilogramm;
m3;qubic metres;;;Kubikmeter;
ha;hectar;;;Hektar;100X100m = 10000m2
m2;square metres;;;Quadratmeter;1X1m
mm;milimeter;;;Milimeter;
cm;centimeter;;;Centimeter;1cm = 10mm
dm;decimeter;;;Dezimeter;10cm = 1dm
BWI;National forest inventory;;;Bundeswaldinventur;
group;group;;;Gruppe;
tapes;TapeS;;package for tree biomass calculations;;
tps;TapeS;;package for tree biomass calculations;;
tpS;TapeS;;package for tree biomass calculations;;
WuWi;Wutzler and Wirth;;Authors of biomass functions, here used for the calculation of foliage biomass;;
GHG;greenhousegas inventory;;represents set of formulas and functions to calculate ;;
Vondr;Vondernach;;Authors of biomass functions ;;
bot;botanic;;;botanisch;
Nr_code;species number code;;unique combination of numbers for each species;;
Chr_code_ger;character code german;;combination of characters / letters representing a species trivial german name;;
name;german species name;;not abbreviated german trivial name for the respective tree species;;
bot_name;botanical name;;full botanical name of the respective tree species, combination of genus and species;;
bot_genus;botanical genus ;;genus of the tree species;;
bot_species;species ;;species name of the respecitve tree species;;
