MoMoK_Nr;Name;Bundeland;Datum;LfdNr;Baumart 
21020;Krummsee;SH;04.05.2023;1;Alnus glutinosa
21020;Krummsee;SH;04.05.2023;2;Betula pubescens
21020;Krummsee;SH;04.05.2023;3;Salix caprea
21030;Schwonau;SH;03.05.2023;1;Alnus glutinosa
21030;Schwonau;SH;03.05.2023;2;Sambucus nigra
23060;Wildenkiel 1;NS;05.06.2023;1;Picea abies
23061;Wildenkiel 2;NS;05.06.2023;1;Betula pubescens
23150;Wildenloh;NS;29.06.2023;1;Betula pubescens
23150;Wildenloh;NS;29.06.2023;2;Larix decidua
23150;Wildenloh;NS;29.06.2023;3;Picea abies
23150;Wildenloh;NS;29.06.2023;4;Pinus strobus
23150;Wildenloh;NS;29.06.2023;5;Pinus sylvestris
23170;Holzurburg;NS;28.06.2023;1;Betula pubescens
23170;Holzurburg;NS;28.06.2023;2;Picea abies
23170;Holzurburg;NS;28.06.2023;3;Pinus sylvestris
25100;Ebbemoor;NRW;04.07.2023;1;Alnus glutinosa
25100;Ebbemoor;NRW;04.07.2023;2;Betula pubescens
26010;Brander Bruch/Muenden;RP;07.06.2023;1;Betula pubescens
26020;Ellerhorst/Muenden;HE;07.06.2023;1;Alnus glutinosa
26020;Ellerhorst/Muenden;HE;07.06.2023;2;Picea abies
26030;Kraemersgrund/Wetter;HE;07.08.2023;1;Alnus glutinosa
27011;Landstuhler Bruch;RP;09.08.2023;1;Picea abies
27011;Landstuhler Bruch;RP;09.08.2023;2;Pinus sylvestris
27040;Palmbruch/Morbach;RP;13.02.2023;1;Betula pubescens
28040;Hockenheimer Rheinbogen;BW;10.08.2023;1;Alnus glutinosa
28040;Hockenheimer Rheinbogen;BW;10.08.2023;2;Populus nigra
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;1;Picea abies
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;1;Betula pubescens
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;2;Pinus mugo
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;3;Pinus sylvestris
32010;Buxpfuhl/Melchow;BB;19.05.2022;1;Alnus glutinosa
32020;Postluch/Britz;BB;24.05.2022;1;Alnus glutinosa
32020;Postluch/Britz;BB;24.05.2022;2;Salix caprea
32050;Stromtrasse/Spechti;BB;03.05.2022;1;Betula pubescens
32070;Hellsee/Biesenthal;BB;04.07.2022;1;Alnus glutinosa
32070;Hellsee/Biesenthal;BB;04.07.2022;2;Betula pubescens
32070;Hellsee/Biesenthal;BB;04.07.2022;3;Fagus sylvatica
32070;Hellsee/Biesenthal;BB;04.07.2022;4;Fraxinus excelsior
32070;Hellsee/Biesenthal;BB;04.07.2022;5;Ulmus laevis
32080;Ploetzensee/Biesenthal;BB;03.08.2022;1;Betula pubescens
32080;Ploetzensee/Biesenthal;BB;03.08.2022;2;Prunus serotina
32090;Pfauenfliess/Biesenthal;BB;29.06.2022;1;Alnus glutinosa
33010;Paelitzsee/Pelzkuhl;MV;16.08.2022;1;Alnus glutinosa
33040;Drewensee/Priepert;MV;06.09.2022;1;Alnus glutinosa
33050;Raetzsee/Fleeth;MV;10.08.2022;1;Alnus glutinosa
33050;Raetzsee/Fleeth;MV;10.08.2022;2;Frangula alnus
33300;Buchenhorst;MV;07.09.2022;1;Alnus glutinosa
33300;Buchenhorst;MV;07.09.2022;2;Betula pubescens
34010;Gr. Eisenstrassenmoor/Johanngeorgenstadt;SN;24.08.2022;1;Picea abies
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;1;Pinus mugo
34030;Steinbach/Steinbach;SN;24.08.2022;1;Picea abies
34040;Milchbach/Erlabrunn;SN;14.09.2022;1;Picea abies
35500;Jaevenitzer Moor/Gardelegen;ST;19.10.2022;1;Betula pubescens
36010;Siegmundsburg;TH;23.08.2023;1;Picea abies
36010;Siegmundsburg;TH;23.08.2023;2;Sorbus aucuparia
36041;Sommerbachskopf 2;TH;23.08.2023;1;Picea abies
