nr1_momok;bze;bl;moortyp;hydro;bestand;bemerk;beschrit;kat_momok;GK4_re;GK4_ho
32010;;BB;Niedermoor;entwässert;Erle;Der kleine Buxpfuhl in Melchow;Buxpfuhl;8;4613287;5850773
32020;;BB;Niedermoor;naturnahe;Erle;Postluch nördlich von Eberswalde;Postluch;8;4623423;5860638
32030;;BB;Anmoorgley;naturnahe;Erle (Esche, Ulme);Erlen-Eschenwald Nähe Lübben im Oberspreewald;Erlen-Eschenwald, fiktiv;8;4639871;5753066
28010;;BW;Hochmoor;k.A.;Fichte;Polygon 0 bei HM, Mutterslehener Moor;Mutterslehener Moor;4;4205912;5298650
28020;;BW;Hochmoor;entwässert;Fichte;Polygon 1 bei HM, Haubacher Moos, Poly 2 wurde rausgenommen und Poly 1 drin gelassen, weil dort eine stärkere Etnwässerung vorliegt;Haubacher Moos;4;4353461;5291066
28030;;BW;Hochmoor;entwässert;Fichte;Polygon 3 bei HM, Steinacher Ried;Steinacher Ried;4;4329117;5312550
28040;;BW;Niedermoor;k.A.;Erl +;Polygon 0-3 bei NM, bei Hockenheim;bei Hockenheim;4;4246641;5469676
28050;;BW;Niedermoor;entwässert;Roterle;Polygon 4 bei NM, Moorkomplex zwischen Baienbach und Baien;bei Baienbach;4;4316849;5304285
28060;;BW;Niedermoor;entwässert;Fichte;Polygon 5 bei NM, Möllenbronner Ried mit Weidried;Möllenbronner Ried;4;4316260;5307454
28080;;BW;Niedermoor;naturnahe bis teilw. Entwässert;diverse, Fichte, Erle, Moorbirke, waldfrei;Polygon 0-14 bei NSG, kleine Sukzessionsflächen in Herrgottsried mit Erlenbruchwälder und einzelnen beigemischten Moorbirken, teilweise extrem nassen Niedermoorstandorten (diese kaum begehbar), aber generell etwas unklar wie der hydrolo. Zustand ist;NSG Herrgottsried;4;4344743;5306731
28100;;BW;Hochmoor;naturnahe bis entwässert;diverse, Kiefer, Fichte;Polygon 15-18 bei NSG, Wurz Ried Poly. 15-17 rel. Naturnahe, Poly. 18 stark entwässert, Dennoch laut BW relativ unklar wie der Zustand momentan ist;NSG Wurzacher Ried;4;4341265;5311852
290557;90557;BY;Zwischenmoor;teilweise entw.;Fichte;guter Zustand;BZE 90557;4;4378465;5270511
290525;90525;BY;Niedermoor;Normniedermoor;diverse, Fichte, Kiefer, Moorbirke;mittlerer Zustand, Fichte wird mitaufgenommen;BZE 90525;4;4338804;5280093
290630;90630;BY;Zwischenmoor;entwässert;Kiefer;;BZE 90630;4;4428200;5310205
290677;90677;BY;Hochmoor;entwässert;Kiefer;guter Zustand trotz tiefen Torfstichgräben, in Tabelle 1 als k.A. hydrolo. Zustand aufgenommen, unklar wie die Stelle aussehen wird, die wir wählen werden;BZE 90677;4;4452195;5310201
29010;;BY;Hochmoor;entwässert;Fichte ;Tuntenhausen;Tuntenhausen;4;4500202;5310196
29020;;BY;Zwischenmoor;k.A.;Fichte;Bischofsgrüner Forst ;Bischofsgrüner Forst ;4;4484202;5550197
29030;;BY;Niedermoor;naturnahe;Birke;Grießenbach ;Grießenbach ;4;4522195;5387992
29040;;BY;Hochmoor;naturnahe;Birke;Schwarzes Moor N. v.;Schwarzes Moor;4;4362702;5599386
29050;;BY;Niedermoor;naturnahe;Erle;Feilenmoos (Haarbruck);Feilenmoos (Haarbruck);4;4470299;5396705
29060;;BY;Niedermoor;teilw. Entw.;Fichte;St. Oswald, Anmoor;St. Oswald, Anmoor;4;4604005;5422088
29070;;BY;Anmoor;teil. Entw.;Fichte;St. Oswald, niedermoor;St. Oswald, Niedermoor;4;4604192;5422215
26010;;HE;Anmoor;entwässert;Birke;Brander Bruch Teilfläche 1 in Reinhardswald;Brander Bruch 1, Reinhardswald;4;4333080;5703559
26020;;HE;Niedermoor;k.A.;Erle;Brander Bruch Teilfläche 2 in Reinhardswald;Brander Bruch 2, Reinhardswald;4;4332234;5702422
26030;;HE;Niedermoor;entwässert;diverse, Erle / Birke;NSG Krämersgrund, wahrscheinlich relativ naturnahe;NSG Krämersgrund;4;4274293;5648586
33010;;MV;Niedermoor;entwässert;Erle;SüdlPälitzsee_entw;Pälitzsee;4;4564860;5894171
33020;;MV;Niedermoor;entwässert;Kiefer;Abt1414_Kiefer_entw;Abt1414 Kiefer;4;4560348;5906054
33030;;MV;Niedermoor;entwässert;Erle;Bullowsee_Erle_entw;Bullowsee;4;4559966;5909875
33040;;MV;Niedermoor;entwässert;Erle;SüdlDrewensee_entw, Referenzstandort;Drewensee;2;4572237;5902884
33050;;MV;Normniedermoor;naturnahe;Erle;Rätzsee_Peetsch, Referenzstandort;Rätzsee, Peetsch;3;4558135;5900281
33060;;MV;Normniedermoor;naturnahe;Erle;Krüselin_Standort;Krüselin;3;4594234;5905807
33100;;MV;Normniedermoor;naturnahe;Erle;naturnah_ConowerWerder;ConowerWerder;3;4598478;5908121
33200;;MV;Normniedermoor;naturnahe;Erle;Labussee;Labussee;3;4563713;5907801
33300;;MV;Mulmniedermoor;entwässert;;Intensivstandort,  Buchenhorst, Abt 2702c, Erle;Buchenhorst;1;4565593;5909757
23060;;NI;Anmoor;wird wiedervernässt;Fichte;Forsthaus Wildenkiel;Forsthaus Wildenkiel;4;4328343;5737701
23010;;NI;Normhochmoor;naturnahe;Birke;NI01000 (BZEII Rasterprüfung);NI01000;4;4285879;5955857
23020;;NI;Normniedermoor;naturnahe;Birke;NI01003 (BZEII Rasterprüfung);NI01003;4;4315847;5906529
23030;;NI;Normhochmoor;naturnahe;diverse, Kiefer, Birke;NI01004 (BZEII Rasterprüfung);NI01004;4;4339833;5905519
23040;;NI;Normniedermoor;naturnahe;Birke;NI01007 (BZEII Rasterprüfung);NI01007;4;4298845;5883210
23050;;NI;Hochmoor;entwässert;Birke;NI01008 (BZEII Rasterprüfung);NI01008;4;4306841;5882876
230518;30518;NI;Niedermoor;entwässert;diverse, Laubbäume;30518;BZE 30518;4;4328840;5833882
230625;30625;NI;Niedermoor;entwässert;Kiefer;30625;BZE 30625;4;4385429;5847511
230635;30635;NI;Niedermoor;naturnahe;Kiefer;30635;BZE 30635;4;4339160;5889537
230651;30651;NI;Niedermoor;entwässert;diverse, Laubbäume;30651;BZE 30651;4;4291520;5899539
25010;;NW;Hochmoor;entwässert;k.A.;F8405_4914_10or, Kraehenpfuhl;NSG Kraehenpfuhl;8;4226789;5665704
25020;;NW;Niedermoor;entwässert?;Fichte, größtenteils abgestorben;F8608_4915_08__Hahnenquellmoor;Hahnenquellmoor 1;2;4235527;5666340
25030;;NW;Niedermoor;k.A.;k.A.;F8608_4915_08__Hahnenquellmoor, im SW;Hahnenquellmoor 2;8;4234219;5665440
25040;;NW;Hochmoor;entwässert?;Birke;NA2083_3612_09__Mettinger_Moor;NSG Mettinger_Moor;4;4213538;5812584
25050;;NW;Hochmoor;entwässert;Birke;NA2001_3807_05und09__Amtsvenn;Amtsvenn;4;4155718;5793051
25060;;NW;Niedermoor;k.A.;k.A.;LA430_3517_22or__Kleinendorf;Kleinendorf;8;4268557;5817047
25070;;NW;Niedermoor;k.A.;k.A.;Export_W0602__HilleKöhlte;HilleKöhlte;8;4280570;5801348
270109;70109;RP;Anmoor;entwässert;diverse, Laubbäume;;BZE 70109;4;4186501;5487154
21010;;SH;Niedermoor;naturnahe;diverse, Erle, Birke,…;Bornhöved: entstehen mehrere Standorte mit unterschiedlichen Baumarten, in Tabelle 1 erstmal als 1 Standort Niedermoor naturnahe Erle aufgenommen, andere Bestände noch etwas unklar;Bornhöved;4;4391374;5991750
210026;10026;SH;Niedermoor;entwässert;Erle;BZE I HH, BZE II HN;BZE 10026;4;4383972;6003730
210029;10029;SH;Niedermoor;entwässert;Erle;BZE I HN, BZE II GH, in Tabelle 1 erstmal als Niedermoor aufgenommen, kann Kartierfehler sein;BZE 10029;4;4400281;6011028
34010;;SN;k.A.;k.A.;;Intensivstandort, Kupferschneise;Kupferschneise;1;4547988;5587204
