id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
0,"x0, g0, gr0",kein Skelett,1989-01-01,
1,"x1, g1, gr1","sehr schwach steinig, kiesig, grusig",1989-01-01,
2,"x2, g2, gr2","schwach steinig, kiesig, grusig",1989-01-01,
3,"x3, g3, gr3","mittel steinig, kiesig, grusig",1989-01-01,
4,"x4, g4, gr4","stark steinig, kiesig, grusig",1989-01-01,
5,"x5, g5, gr5","sehr stark steinig, kiesig, grusig",1989-01-01,
6,"x6, g6, gr6","Steine, Kies, Grus",1989-01-01,
