Tree species;Bark Type;DBH Type 1;DBH Type 2;DBH Type 3
Acer pseudoplatanus;scaly;< 20 cm;20 - 40 cm;> 40 cm
Betula spp.;furrowed;< 15 cm;15 - 25 cm;> 25 cm
Populus spp.;furrowed;< 15 cm;15 - 25 cm;> 25 cm
Fagus sylvatica;smooth;omitted;omitted;omitted
Pseudotsuga menziesii;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Quercus spp.;furrowed;< 10 cm;10 - 30 cm;> 30 cm
Sorbus torminalis;scaly;< 15 cm;>15 cm;omitted
Larix decidua;furrowed;< 10 cm;10 - 30 cm;> 30 cm
Alnus spp.;furrowed;< 15 cm;15 - 30 cm;> 30 cm
Fraxinus excelsior;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Acer campestre;scaly;< 20 cm;>20 cm;omitted
Picea abies;scaly;< 20 cm;20 - 40 cm;> 40 cm
Carpinus betulus;smooth;< 30 cm;>30 cm;omitted
Larix kaempferi;furrowed;< 10 cm;10 - 30 cm;> 30 cm
Castanea sativa;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Pinus spp.;scaly;< 15 cm;15 - 30 cm;> 30 cm
Prunus avium;smooth;omitted;omitted;omitted
Tilia spp.;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Populus balsamifera;furrowed;< 15 cm;15 - 25 cm;> 25 cm
Quercus rubra;furrowed;< 20 cm;20 - 40 cm;> 40 cm
Robinia pseudoacacia;furrowed;< 10 cm;10 - 25 cm;> 25 cm
Acer platanoides;scaly;< 15 cm;15 - 35 cm;> 35 cm
Pinus nigra;scaly;< 15 cm;15 - 30 cm;> 30 cm
broadleaf species;?;?;?;?
conifer species;?;?;?;?
Abies alba;scaly;< 20 cm;20 - 40 cm;> 40 cm
Ulmus spp.;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Sorbus spp.;smooth;omitted;omitted;omitted
Salix spp.;furrowed;< 20 cm;20 - 35 cm;> 35 cm
Sorbus domestica;scaly;< 20 cm;20 - 40 cm;> 40 cm
Taxus baccata;scaly;< 20 cm;>20 cm;omitted
Sorbus aria;smooth/scaly;< 20 cm;>20 cm;omitted
Malus sylvestris;scaly;< 20 cm;20 - 40 cm;> 40 cm
Pyrus pyraster;scaly;< 20 cm;20 - 40 cm;> 40 cm
